番号,単語,意味
390,announce,～を発表する
391,react,反応する
392,wander,歩き回る
393,text,メールを送る
394,generate,～を生み出す
395,score,～を取る
396,government,政府
397,knowledge,知識
398,nation,国
399,effort,努力
400,period,時代
401,population,人口
402,purpose,目的
403,behavior,行動
404,lack,不足
405,skill,技術
406,quality,質
407,environment,環境
408,role,役割
409,attitude,態度
410,author,筆者
411,research,研究
412,opportunity,機会
413,source,源
414,carbon,炭素
415,shape,形
416,advantage,利点
417,method,方法
418,habit,習慣
419,detail,細部
420,distance,距離
421,crowd,群衆
422,instance,例
423,desire,願望
424,standard,水準
425,task,仕事
426,generation,世代
427,responsibility,責任
428,experiment,実験
429,athlete,運動選手
430,decade,10年
431,loss,損失
432,fever,熱
433,theory,理論
434,statement,記述
435,professor,教授
436,function,機能
437,surface,表面
438,envelope,封筒
439,organization,組織
440,policy,政策
441,resource,資源
442,contrast,対比
443,flood,洪水
444,mate,連れ合い
445,goods,商品
446,creature,動物
447,structure,構造
448,tradition,伝統
449,weight,体重
450,charity,慈善
451,citizen,市民
452,impression,印象
453,cartoon,マンガ
454,career,経歴
455,site,用地
456,passenger,乗客
457,violence,暴力
458,income,所得
459,temperature,気温
460,majority,大多数
461,origin,起源
462,literature,文学
463,equipment,設備
464,stranger,見知らぬ人
465,strength,強さ
466,planet,惑星
467,fiction,小説
468,religion,宗教
469,pollution,汚染
470,wealth,富
471,document,文書
472,profit,もうけ
473,technique,技術
474,emotion,感情
475,phenomenon,現象
476,horror,恐怖
477,ladder,はしご
478,billion,十億
479,status,地位
480,youth,若者
481,confidence,自信
482,edge,周辺
483,household,家庭
484,scholar,学者
485,survey,調査
486,vocabulary,語彙
487,enemy,敵
488,construction,建設
489,lecture,講義
490,instruction,指示
491,crisis,危機
492,instrument,器具
493,crop,作物
494,weapon,兵器
495,device,装置
496,path,道
497,earthquake,地震
498,stream,小川
499,notion,概念
500,yard,庭
501,victim,犠牲者
502,fuel,燃料
503,ancestor,祖先
504,soil,土壌
505,debate,討論
506,crime,犯罪
507,colleague,同僚
508,shelf,棚
509,analysis,分析
510,universe,宇宙
511,electricity,電気
512,insect,昆虫
513,web,巣
514,storm,嵐
515,plenty,十分な
516,agriculture,農業
517,gene,遺伝子
518,evidence,証拠
519,consequence,結果
520,infant,幼児
521,leisure,暇
522,cell,細胞
523,talent,才能
524,advertising,広告
525,extent,程度
526,garbage,ごみ
527,general,一般
528,various,さまざまな
529,similar,似ている
530,complete,完全な
531,sharp,急激な
532,expensive,高価な
533,political,政治的な
534,aware,気づいている
535,ancient,古代の
536,medical,医学の
537,essential,不可欠だ
538,huge,巨大な
539,terrible,ひどい
540,practical,実用的な
541,entire,全
542,favorite,いちばん好きな
543,comfortable,快適な
544,minor,小さい
545,typical,典型的な
546,ideal,理想的な
547,principal,主要な
548,appropriate,適切な
549,empty,からの
550,rapid,急速な
551,mental,精神の
552,excellent,すばらしい
553,convenient,都合がいい
554,potential,潜在的な
555,financial,財政的な
556,enormous,莫大な
557,rare,珍しい
558,artificial,人工
559,tiny,ちっちゃな
560,considerable,かなりの
561,sensitive,敏感な
562,intellectual,知的な
563,thirsty,のどが渇く
564,polite,礼儀正しい
565,accurate,正確な
566,rude,失礼な
567,sufficient,十分な
568,urban,都会の
569,temporary,一時的な
570,primitive,原始的な
571,permanent,永久
572,elderly,高齢の
573,severe,厳しい
574,brief,簡潔な
575,mobile,流動的な
576,latest,最新の
577,military,軍事的な
578,strict,厳しい
579,solid,固体の
580,stupid,ばかな
581,biological,生物
582,probably,おそらく
583,hardly,ほとんど～ない
584,immediately,すぐに
585,eventually,ついに
586,frequently,しばしば
587,extremely,非常に
588,gradually,だんだん
589,instantly,すぐに
590,nevertheless,それにもかかわらず
591,moreover,その上
592,relatively,比較的
593,apparently,一見
594,definitely,絶対
595,largely,主に
596,mostly,大部分は
597,approximately,およそ
598,overnight,一晩
599,accidentally,偶然
600,despite,にもかかわらず
601,proceed,進む
602,ensure,～を確実にする
603,interpret,～を解釈する
604,cease,～しなくなる
605,ban,（公式に）～を禁止する
606,obey,～に従う
607,eliminate,(不要なもの)を除去する
608,resist,～に抵抗する
609,accompany,〈人〉に同伴する
610,commit,〈罪など〉を犯す、～をゆだねる、委任する、(本気で)取り組む
611,pursue,～を追求する
612,demonstrate,(証明などが)～を明らかに示す
613,bet,きっと～だと思う
614,ruin,～を台無しにする、破滅させる
615,threaten,～を脅迫する
616,attach,AをBにくっつける
617,reverse,～を反対にする、逆転する
618,restrict,～を制限する
619,compose,～を組み立てる
620,lean,よりかかる、もたれる
621,substitute,～を代わりに用いる
622,trace,～の跡をたどる
623,interrupt,～を妨げる
624,confront,～の前に立ちふさがる、～に立ち向かう
625,illustrate,～を（例で）示す
626,arrest,～を逮捕する
627,stimulate,～を刺激する
628,assure,（～を）保証する
629,consult,～に相談する、～を参照する
630,depress,～を憂鬱にさせる
631,crash,激突する
632,inspire,～を奮起させる、やる気にさせる
633,specialize,Aを専門にする、専攻する
634,cultivate,(植物)を栽培する、(感情・能力などを)育む
635,fulfill,(約束・夢など)を果たす
636,transmit,～を送る、伝える
637,found,～を創立する、設立する
638,clap,(手など)をたたく
639,burst,破裂する、突然～しだす
640,bow,おじぎする
641,dismiss,(考えなど)を無視する、(人)を解雇する、解散する
642,breed,～を繁殖させる、繁殖する
643,prohibit,〈法・団体が〉～を禁じる
644,oblige,～に強いる
645,qualify,Aに適任である
646,invest,（金）を投資する
647,grasp,～を理解する
648,collapse,崩壊する
649,overlook,～を見落とす、～を見逃す
650,accuse,～を非難する
651,frustrate,〈人〉を欲求不満にさせる
652,deprive,AからBを奪う
653,astonish,～を驚嘆させる
654,register,～を登録する
655,correspond,一致する
656,cast,～を投げる
657,attribute,AはBのおかげだと思う
658,neglect,～を無視する、怠る
659,starve,飢える
660,resolve,(問題など)を解決する
661,impose,AをBに課す、押し付ける
662,convert,～を転換する
663,scare,～をおびえさせる
664,constitute,～を構成する、占める、～である
665,appoint,～を任命する
666,imply,～を(暗に)意味する
667,assign,(仕事・物)を割り当てる
668,nod,うなずく
669,elect,～を選挙で選ぶ
670,transfer,～を移す
671,rob,AからBを奪う
672,capture,～を捕らえる
673,undertake,（仕事など）を引き受ける
674,drown,おぼれ死ぬ
675,split,～を割る、分裂する
676,resort,Aに訴える
677,descend,下る、降りる
678,irritate,～をいらだたせる
679,pronounce,〈単語など〉を発音する
680,equip,～を装備させる
681,cheat,いかさまをする
682,emerge,〈隠れていたものが〉現れる
683,devote,～をささげる
684,heal,〈けがなど〉を治す、治る
685,urge,～に強く迫る、～を説得する
686,envy,～をうらやむ
687,chase,～を追いかける
688,prompt,～を促す
689,withdraw,～を引っ込める、引きこもる、退く、(預金など)を引き出す
690,detect,～を探知する、～を発見する
691,interfere,Aを邪魔する
692,kid,冗談を言う、からかう
693,launch,(ロケットなど)を打ち上げる
694,endanger,～を危険にさらす
695,foster,～を促進する、育成する
696,diminish,減少する、衰える、～を減らす
697,spill,～をこぼす
698,infect,〈人〉に感染する
699,stem,Aから生じる、Aに由来する
700,tap,～を軽くたたく
701,embrace,受け入れる、含む
702,proportion,比率
703,contract,契約
704,chest,胸
705,treasure,財宝
706,stock,株(式)
707,facility,設備、施設
708,sum,金額、合計、要約
709,rank,地位
710,democracy,民主主義、民主国家
711,emergency,緊急事態
712,protest,抗議
713,immigrant,移民
714,vehicle,車、乗り物、手段
715,routine,決まりきった仕事、日課
716,stuff,物
717,row,列
718,profile,プロフィール、人物紹介、横顔
719,dawn,夜明け
720,welfare,福祉
721,perspective,見方
722,enthusiasm,熱意、情熱
723,faith,信頼
724,occupation,職業、占領
725,witness,証人、目撃者
726,kingdom,王国
727,equivalent,同等のもの、相当するもの
728,objective,目的、目標、客観的な
729,pile,積み重ね
730,shelter,避難(所)
731,trial,試み、裁判
732,honor,名誉
733,territory,領土、なわ張り
734,frame,わく
735,border,国境地帯
736,statistics,統計(学)
737,enterprise,企業、事業
738,context,文脈、状況
739,load,荷物
740,grain,穀物
741,review,再検討
742,prejudice,偏見
743,strain,負担
744,trap,わな、閉じ込められる、わなにかける
745,temper,気性
746,slave,奴隷
747,wound,傷
748,divorce,離婚
749,tune,曲
750,height,高さ、最盛期
751,faculty,学部、能力
752,span,期間
753,dimension,側面、要素、次元
754,version,型、...版、翻訳、説明
755,parallel,類似(物)、匹敵するもの
756,horizon,地平線
757,acquaintance,知人
758,burden,重荷
759,basis,基礎、根拠、方式、やり方
760,poison,毒
761,constitution,憲法
762,administration,経営、行政
763,charm,魅力
764,organ,臓器、器官
765,prey,獲物、えじき
766,venture,冒険的事業
767,mission,使命、任務
768,inquiry,調査、質問、問い合わせ
769,award,賞
770,strip,細長い一片
771,distress,苦しみ、悲嘆、苦難
772,circulation,循環、流通、発行部数
773,shade,陰、日陰
774,stereotype,典型的なイメージ、類型、固定観念
775,client,依頼人
776,output,生産高
777,lord,神
778,convention,慣習、しきたり、会議、大会
779,mine,鉱山
780,craft,工芸、技術、巧みに作る
781,core,中心、核心
782,stroke,脳卒中、発作、打撃、一撃、なでる
783,frontier,国境
784,peer,同僚、じっと見る
785,vessel,血管、船、器
786,disability,障害
787,gravity,重力
788,ethic,倫理(学)
789,terminal,終点
790,tide,潮流、潮の干満
791,abuse,虐待
792,guilty,有罪の、罪の意識がある
793,vital,きわめて重要な、必要な、活気のある
794,fellow,仲間の
795,contemporary,現代の
796,annual,年に１度の、１年間の
797,accustomed,慣れた
798,steady,しっかりした
799,dull,退屈させる
800,keen,熱望して、鋭い
801,loose,ゆるい
802,delicate,繊細な、微妙で難しい
803,internal,内部の、国内の
804,casual,形式ばらない、気楽な
805,mature,成熟した
806,concrete,具体的な
807,awful,ひどい
808,exhausted,疲れ切っている
809,overall,全面的な、全体的な
810,tight,引き締まった、きつい
811,prime,最も重要な、主要な
812,genuine,本物の、真の、心からの
813,modest,控えめな、謙虚な、わずかな
814,intimate,親密な
815,minimum,最小限の
816,sophisticated,高度な
817,latter,後者の
818,bitter,苦い、つらい、腹を立てた
819,peculiar,独特の、固有の
820,passive,受動的な、消極的な
821,ethnic,民族的な、民族の
822,noble,高貴な
823,vain,むだな
824,innocent,無罪の、罪のない、無邪気な
825,underlying,根本的な
826,alien,外国の、異質な
827,relevant,関連のある
828,inclined,Ｖする傾向がある、Ｖしたい気がある
829,awkward,気まずい
830,brilliant,すばらしい
831,desperate,必死の
832,refreshing,さわやかな
833,thrilled,とてもうれしい
834,inner,内側の
835,consistent,矛盾のない、一致した
836,plain,明白な、わかりやすい
837,vivid,鮮やかな
838,miserable,惨めな
839,substantial,相当な、多大な
840,fond,Aが好きだ
841,FALSE,まちがいの
842,lazy,怠惰な
843,precisely,正確に、まさに、ちょうど
844,meanwhile,その間に
845,altogether,完全に
846,lately,最近
847,barely,かろうじて
848,scarcely,ほとんど～ない
849,accordingly,それ相応に
850,deliberately,わざと
851,beneath,～の下で
852,whereas,～だが一方
853,declare,～を宣言する
854,alter,～を変える
855,arise,生じる
856,transform,変える
857,defeat,～を打ち負かす
858,investigate,～を調査する
859,distinguish,～を見分ける
860,bury,～を埋める
861,cope,うまく対処する
862,occur,起こる
863,accomplish,～をやりとげる
864,hesitate,ためらう
865,endure,～に耐える
866,conclude,～と結論づける
867,guarantee,～を保証する
868,dominate,～を支配する
869,confirm,～を裏付ける
870,greet,～にあいさつする
871,entertain,～を楽しませる
872,defend,～を守る
873,forbid,～を禁じる
874,broadcast,～を放送する
875,sacrifice,～を犠牲にする
876,punish,～を罰する
877,glance,ちらりと見る
878,retain,～を保持する
879,calculate,～を計算する
880,sinking,沈む
881,rescue,～を救助する
882,beg,～と乞う
883,define,定義する
884,deceive,～をだます
885,convey,～を伝える
886,sustain,～を維持する
887,purchase,～を購入する
888,fade,薄れる
889,regulate,～を規制する
890,distribute,～を分配する
891,enhance,～を向上させる
892,chat,おしゃべりする
893,exceed,～を超える
894,wipe,～をふく
895,cooperate,協力する
896,inherit,～を受け継ぐ
897,unite,～を団結させる
898,leap,跳ぶ
899,exaggerate,～を誇張する
900,conquer,～を征服する
901,melt,溶ける
902,invade,～に侵入する
903,modify,～を修正する
904,scatter,～をばらまく
905,undergo,～を経験する
906,evaluate,～を評価する
907,bend,身をかがめる
908,derive,由来する
909,screaming,悲鳴をあげる
910,gaze,見つめる
911,pray,祈る
912,polish,～を磨く
913,classify,分類する
914,assert,～と主張する
915,grab,～をつかむ
916,fold,～を折りたたむ
917,sweep,～を掃く
918,whisper,ささやく
919,imitate,～をまねる
920,stare,じっと見る
921,emphasize,～を強調する
922,rid,～を取り除く
923,pour,～を注ぐ
924,vanish,消える
925,restore,～を修復する
926,deserve,当然だ
927,laboratory,研究所
928,conference,会議
929,continent,大陸
930,insurance,保険
931,crew,乗組員たち
932,poverty,貧乏
933,shortage,不足
934,affair,情勢
935,exception,例外
936,wage,賃金
937,wisdom,知恵
938,tax,税金
939,evolution,進化
940,barrier,壁
941,category,範ちゅう
942,unit,単位
943,reputation,評判
944,virtue,美徳
945,courage,勇気
946,sympathy,同情
947,union,組合
948,civilization,文明
949,volume,冊
950,blossom,花
951,era,時代
952,dispute,紛争
953,tourism,観光
954,mankind,人類
955,murder,殺人
956,landscape,風景
957,destination,目的地
958,tale,話
959,reform,改革
960,muscle,筋肉
961,prospect,見通し
962,corporation,企業
963,colony,植民地
964,quarrel,口論
965,profession,職業
966,aspect,側面
967,pause,休止
968,conflict,対立
969,privilege,特権
970,prosperity,繁栄
971,genius,天才
972,seed,種
973,symptom,症状
974,merit,長所
975,layer,層
976,clue,手がかり
977,circumstances,状況
978,district,地区
979,prison,刑務所
980,companion,仲間
981,executive,重役
982,justice,正義
983,procedure,手続き
984,ray,光線
985,heaven,天国
986,luxury,贅沢
987,oxygen,酸素
988,fund,資金
989,theme,主題、テーマ
990,boundary,境界
991,ambition,熱望
992,forecast,予報
993,psychology,心理学
994,labor,労働
995,committee,委員会
996,physician,医者
997,philosophy,哲学
998,affection,愛情
999,candidate,候補
1000,bomb,爆弾
1001,priority,優先
1002,obstacle,障害
1003,appetite,食欲
1004,tension,緊張
1005,tribe,部族
1006,budget,予算
1007,campaign,運動、キャンペーン
1008,sorrow,悲しみ
1009,satellite,衛星
1010,insight,洞察
1011,cough,せき
1012,fate,運命
1013,scheme,計画
1014,insult,侮辱
1015,inhabitant,住民
1016,fossil,化石
1017,motive,動機
1018,instinct,本能
1019,legend,伝説
1020,empire,帝国
1021,suburb,郊外
1022,architecture,建築
1023,passion,情熱
1024,cancer,ガン
1025,logic,論理
1026,dozen,ダース
1027,harvest,収穫
1028,ingredient,材料
1029,hypothesis,仮説
1030,voyage,航海
1031,editor,編集者
1032,option,選択の自由
1033,hemisphere,半球
1034,mechanism,仕組み
1035,anthropologist,人類学者
1036,tragedy,悲劇
1037,antibiotic,抗生物質
1038,fare,運賃
1039,debt,借金
1040,curriculum,教育課程
1041,component,構成要素
1042,wheat,小麦
1043,usage,語法
1044,castle,城
1045,famine,飢饉
1046,extinction,絶滅
1047,purse,財布
1048,folk,民族
1049,explosion,爆発
1050,portion,部分
1051,organism,生物
1052,merchant,商人
1053,myth,神話
1054,incident,出来事
1055,wildlife,野生生物
1056,congress,議会
1057,bay,湾
1058,penalty,刑
1059,heritage,遺産
1060,diversity,多様性
1061,thumb,親指
1062,geography,地理
1063,factor,要因
1064,discrimination,差別
1065,virus,ウイルス
1066,statue,像
1067,priest,神父
1068,pioneer,先駆者
1069,trait,特徴
1070,bond,きずな
1071,grocery,食料品
1072,secretary,秘書
1073,dialect,方言
1074,astronomy,天文学
1075,youngster,子供
1076,substance,物質
1077,finding,発見
1078,strategy,戦略
1079,lung,肺
1080,opponent,敵
1081,ritual,儀式
1082,outcome,結果
1083,conservation,環境保護
1084,mammal,哺乳類
1085,telescope,望遠鏡
1086,refugee,難民
1087,code,規則
1088,flavor,風味
1089,particle,粒子
1090,nursing,看護
1091,suicide,自殺
1092,habitat,生息地
1093,bullying,いじめ
1094,dinosaur,恐竜
1095,council,議会
1096,gender,性別
1097,surgery,手術
1098,innovation,革新
1099,protein,タンパク質
1100,nutrition,栄養
1101,disaster,災害
1102,emission,排出
1103,ape,類人猿
1104,molecule,分子
1105,sweat,汗
1106,transplant,移植
1107,species,種
1108,tip,先
1109,cattle,牛
1110,density,密度
1111,concept,概念
1112,pale,青白い
1113,precious,貴重な
1114,loyal,忠実な
1115,isolated,孤立している
1116,generous,気前のよい
1117,tropical,熱帯
1118,reluctant,したがらない
1119,vague,漠然とした
1120,vast,広大な
1121,numerous,たくさんの
1122,rural,田舎の
1123,widespread,広まっている
1124,complicated,複雑な
1125,visible,目に見える
1126,raw,生の
1127,remote,へんぴな
1128,urgent,緊急の
1129,silly,ばかな
1130,striking,いちじるしい
1131,adequate,十分な
1132,extraordinary,並外れた
1133,odd,おかしな
1134,abstract,抽象的な
1135,mutual,相互の
1136,excessive,過度の
1137,ashamed,恥ずかしい
1138,tremendous,とてつもない
1139,inevitable,避けられない
1140,pure,純
1141,stable,安定した
1142,indifferent,無関心だ
1143,aggressive,攻撃的な
1144,ultimate,究極の
1145,shy,内気な
1146,solar,太陽
1147,profound,深い
1148,subtle,微妙な
1149,conservative,保守
1150,brave,勇敢な
1151,intense,強烈な
1152,alcoholic,アルコールの
1153,manual,手を使う
1154,cruel,残酷な
1155,rational,理性的な
1156,initial,最初の
1157,immune,免疫
1158,linguistic,言語の
1159,crucial,重大な
1160,verbal,言葉による
1161,optimistic,楽観的な
1162,flexible,柔軟な
1163,grateful,感謝している
1164,lively,生き生きとした
1165,overwhelming,圧倒的な
1166,abundant,豊富な
1167,selfish,利己的な
1168,ugly,みにくい
1169,racial,人種の
1170,prominent,有名な
1171,controversial,物議を呼ぶ
1172,federal,連邦の
1173,ridiculous,ばかげた
1174,imaginary,架空の
1175,harsh,厳しい
1176,random,無作為な
1177,adolescent,思春期の
1178,up-to-date,最新の
1179,liberal,自由主義の
1180,prior,前の
1181,moderate,適度な
1182,fluent,流ちょうな
1183,elaborate,手の込んだ
1184,incredible,信じられない
1185,radical,根本的な
